epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,908.881,1.89972,1.67391,1.57111,0.41407,0.1601,0.12333,0.06369,2.63057,2.2624,1.87833,0.0934545,6.61157e-05,6.61157e-05
2,1885.31,1.71806,1.25915,1.44628,0.4131,0.29519,0.26498,0.14318,1.87024,1.77551,1.50249,0.0868532,0.000131468,0.000131468
3,2826.51,1.71609,1.17255,1.43212,0.39269,0.29184,0.24494,0.12258,2.09706,1.87169,1.68582,0.0802506,0.0001955,0.0001955
4,3765.77,1.67031,1.13554,1.4152,0.48521,0.29066,0.28522,0.16883,2.24544,2.22354,1.71093,0.0736466,0.000258212,0.000258212
5,4584.27,1.53733,0.9944,1.35522,0.56318,0.35387,0.37182,0.22235,1.63038,1.32949,1.33263,0.0670414,0.000319604,0.000319604
6,5431.85,1.53678,0.9784,1.34488,0.60089,0.36434,0.40156,0.26603,1.47247,1.24086,1.22651,0.0604348,0.000379676,0.000379676
7,6417.43,1.56988,0.98052,1.35927,0.60646,0.40664,0.41453,0.23194,1.68045,1.55077,1.37001,0.0538269,0.000438428,0.000438428
8,7444.46,1.51605,0.93852,1.33352,0.6498,0.41031,0.43993,0.2879,1.49763,1.01069,1.23839,0.0472176,0.000495861,0.000495861
9,8439,1.50929,0.91778,1.32078,0.68117,0.45909,0.50248,0.31121,1.41278,1.00123,1.20693,0.0406071,0.000551973,0.000551973
10,9391.63,1.49109,0.90595,1.31028,0.67775,0.43131,0.47704,0.31615,1.3377,0.93598,1.16905,0.0339952,0.000606765,0.000606765
11,10282.2,1.41855,0.84293,1.2831,0.76426,0.50967,0.5731,0.39767,1.18599,0.70506,1.09044,0.027382,0.000660237,0.000660237
12,11152.5,1.362,0.79684,1.2571,0.8128,0.51264,0.59713,0.41105,1.19499,0.69303,1.07675,0.0207675,0.000712389,0.000712389
13,11992.3,1.33169,0.76374,1.24518,0.77736,0.51386,0.57544,0.38534,1.22524,0.76083,1.10019,0.0141517,0.000763221,0.000763221
14,12846.6,1.3259,0.75556,1.24463,0.80984,0.49926,0.58205,0.40075,1.19543,0.70125,1.08081,0.0075345,0.000812733,0.000812733
15,13759.6,1.31393,0.74848,1.23454,0.78791,0.53612,0.60625,0.41459,1.14924,0.74451,1.06343,0.000916022,0.000860925,0.000860925
16,14680.6,1.28951,0.71821,1.21887,0.78172,0.55228,0.6102,0.41653,1.17386,0.67519,1.07501,0.0008515,0.0008515,0.0008515
17,15607.3,1.26255,0.69923,1.21332,0.79517,0.55857,0.61647,0.41802,1.19859,0.683,1.1009,0.0008416,0.0008416,0.0008416
18,16496.4,1.24225,0.68129,1.19738,0.84068,0.58397,0.65116,0.46489,1.02365,0.54033,1.00699,0.0008317,0.0008317,0.0008317
19,17412.8,1.18571,0.64515,1.18172,0.87889,0.58246,0.66035,0.48035,1.00221,0.51126,0.99236,0.0008218,0.0008218,0.0008218
20,18315,1.16713,0.6342,1.17201,0.8858,0.57535,0.66097,0.47789,0.98495,0.56437,0.98075,0.0008119,0.0008119,0.0008119
21,19239.5,1.15233,0.612,1.16422,0.86744,0.60357,0.67152,0.48994,0.96143,0.54748,0.98441,0.000802,0.000802,0.000802
22,20102,1.11482,0.59148,1.15174,0.87172,0.59137,0.67665,0.49244,0.98367,0.54499,0.99807,0.0007921,0.0007921,0.0007921
23,20966,1.10016,0.57366,1.14194,0.88407,0.61554,0.68995,0.51927,0.92143,0.49537,0.95392,0.0007822,0.0007822,0.0007822
24,21924.3,1.08978,0.5682,1.13489,0.9031,0.61562,0.70179,0.51847,0.92527,0.47116,0.97683,0.0007723,0.0007723,0.0007723
25,22888.8,1.05249,0.55108,1.12623,0.85107,0.62937,0.70248,0.5284,0.88041,0.45802,0.9481,0.0007624,0.0007624,0.0007624
26,23754.4,1.03097,0.54024,1.12045,0.91294,0.62708,0.71654,0.54104,0.89129,0.43684,0.97972,0.0007525,0.0007525,0.0007525
27,24646.6,1.02672,0.53065,1.12229,0.9126,0.62992,0.70884,0.53493,0.84545,0.42516,0.93775,0.0007426,0.0007426,0.0007426
28,25527.7,1.00145,0.51422,1.11243,0.90326,0.63469,0.72121,0.54201,0.83564,0.44996,0.92406,0.0007327,0.0007327,0.0007327
