epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1160.56,0.96564,3.24443,1.30986,0.34795,0.27248,0.23172,0.13025,1.03622,3.24428,1.47924,0.0671617,0.000165017,0.000165017
2,2302.18,0.88027,2.30532,1.21548,0.49022,0.36223,0.34223,0.19061,0.95975,3.04195,1.31935,0.0339931,0.000329693,0.000329693
3,3470.71,0.87404,2.20629,1.20198,0.62165,0.39183,0.41048,0.2274,0.93144,2.57058,1.33112,0.000822403,0.00049237,0.00049237
4,4583.39,0.82674,1.98901,1.16463,0.65438,0.44143,0.47798,0.27311,0.83736,2.0657,1.15571,0.000491,0.000491,0.000491
5,5699.65,0.79509,1.81919,1.13512,0.71617,0.47035,0.52232,0.32455,0.79938,1.77217,1.08009,0.000488,0.000488,0.000488
6,6877.02,0.7698,1.71263,1.11362,0.79098,0.51975,0.56981,0.36567,0.70202,1.6654,1.00334,0.000485,0.000485,0.000485
7,8060,0.74687,1.62505,1.09286,0.80022,0.49955,0.57536,0.35718,0.7018,1.73393,0.97841,0.000482,0.000482,0.000482
8,9179.76,0.70946,1.5142,1.06386,0.80383,0.52583,0.58839,0.38795,0.66195,1.38672,0.95869,0.000479,0.000479,0.000479
9,10312.2,0.70735,1.48798,1.05804,0.78857,0.50698,0.57613,0.36822,0.69805,1.5204,0.98042,0.000476,0.000476,0.000476
10,11472.7,0.67274,1.42105,1.03295,0.86124,0.57379,0.64403,0.44663,0.59305,1.15395,0.89002,0.000473,0.000473,0.000473
11,12623.9,0.65829,1.34529,1.01545,0.87019,0.59008,0.65494,0.44194,0.58908,1.17145,0.89463,0.00047,0.00047,0.00047
12,13727.7,0.64199,1.2973,1.00758,0.82534,0.58035,0.6489,0.43888,0.58788,1.15688,0.88551,0.000467,0.000467,0.000467
13,14827.2,0.62581,1.27089,1.00944,0.87083,0.59668,0.67163,0.4668,0.56886,1.07434,0.87537,0.000464,0.000464,0.000464
14,15969.4,0.62385,1.25814,1.00021,0.87913,0.59564,0.6705,0.47332,0.559,1.10468,0.8985,0.000461,0.000461,0.000461
15,17065.2,0.60561,1.20628,0.9885,0.85758,0.62224,0.69101,0.49008,0.53973,1.04296,0.8813,0.000458,0.000458,0.000458
16,18174,0.60736,1.19011,0.988,0.8688,0.62058,0.6882,0.49005,0.51954,1.03335,0.84872,0.000455,0.000455,0.000455
17,19326.9,0.58466,1.15216,0.97093,0.90569,0.60521,0.68819,0.48636,0.53892,1.06049,0.85623,0.000452,0.000452,0.000452
18,20476.7,0.58735,1.14597,0.97532,0.88912,0.63419,0.70762,0.51056,0.50673,0.94989,0.83454,0.000449,0.000449,0.000449
19,21619.4,0.57186,1.1051,0.96007,0.91214,0.63862,0.71184,0.51768,0.50038,0.90793,0.81977,0.000446,0.000446,0.000446
20,22767.5,0.55738,1.08551,0.95339,0.87756,0.64342,0.71565,0.52309,0.50393,0.93172,0.83927,0.000443,0.000443,0.000443
21,23875.2,0.55731,1.06489,0.94573,0.89694,0.64796,0.72414,0.53315,0.48896,0.90815,0.82922,0.00044,0.00044,0.00044
22,24989.6,0.54636,1.0537,0.94061,0.89713,0.6468,0.72089,0.53788,0.47549,0.9235,0.81656,0.000437,0.000437,0.000437
23,26117.1,0.5387,1.03175,0.9401,0.91232,0.64249,0.73904,0.55276,0.47991,0.91269,0.8107,0.000434,0.000434,0.000434
24,27257.7,0.52893,1.02173,0.93661,0.91528,0.65448,0.73567,0.54146,0.47252,0.8714,0.80929,0.000431,0.000431,0.000431
25,28398.8,0.52391,0.99812,0.93023,0.916,0.6539,0.74399,0.56103,0.45114,0.81964,0.79929,0.000428,0.000428,0.000428
26,29526.9,0.51491,0.98194,0.92848,0.90181,0.66174,0.74127,0.55715,0.43732,0.85048,0.78598,0.000425,0.000425,0.000425
27,30697.6,0.50429,0.96141,0.92413,0.91109,0.66088,0.74258,0.55734,0.44008,0.81,0.79574,0.000422,0.000422,0.000422
28,31848.4,0.51195,0.97557,0.92871,0.91013,0.66833,0.73905,0.54944,0.44513,0.87752,0.78916,0.000419,0.000419,0.000419
29,32935.4,0.49493,0.9423,0.91895,0.90535,0.66956,0.75057,0.56092,0.44547,0.80243,0.7955,0.000416,0.000416,0.000416
30,34098.4,0.48958,0.92778,0.91511,0.89085,0.68597,0.75173,0.57115,0.4352,0.83019,0.78824,0.000413,0.000413,0.000413
31,35233.4,0.48735,0.92518,0.91311,0.91764,0.66604,0.75588,0.58049,0.42836,0.8042,0.78872,0.00041,0.00041,0.00041
32,36382.7,0.47988,0.91533,0.91253,0.89993,0.68153,0.75008,0.56751,0.41443,0.81674,0.77825,0.000407,0.000407,0.000407
33,37519.3,0.47738,0.9092,0.90865,0.91173,0.68481,0.76215,0.5794,0.41359,0.77412,0.77231,0.000404,0.000404,0.000404
34,38659.7,0.47263,0.89866,0.90579,0.91772,0.68537,0.76514,0.58756,0.39549,0.73609,0.76073,0.000401,0.000401,0.000401
35,39811.4,0.468,0.88411,0.90092,0.93915,0.67372,0.76686,0.59129,0.41388,0.75482,0.78734,0.000398,0.000398,0.000398
36,40954.8,0.47036,0.88502,0.90364,0.92396,0.67934,0.76515,0.58348,0.39986,0.75076,0.76272,0.000395,0.000395,0.000395
37,42100.2,0.46556,0.8717,0.89964,0.91842,0.6956,0.78125,0.60645,0.38907,0.72299,0.76611,0.000392,0.000392,0.000392
38,43262.8,0.45691,0.85326,0.8956,0.912,0.6955,0.77104,0.60264,0.37931,0.72193,0.75533,0.000389,0.000389,0.000389
39,44401.3,0.44817,0.84214,0.89685,0.9321,0.69083,0.77531,0.59179,0.40777,0.77125,0.76811,0.000386,0.000386,0.000386
40,45475.1,0.45715,0.85968,0.89411,0.90876,0.70308,0.77336,0.60194,0.40527,0.88268,0.77129,0.000383,0.000383,0.000383
41,46663.1,0.44304,0.83561,0.8916,0.91927,0.69821,0.78972,0.6158,0.37991,0.70588,0.75959,0.00038,0.00038,0.00038
42,47822,0.43905,0.82626,0.88804,0.91852,0.70513,0.78739,0.6222,0.39331,0.69608,0.7872,0.000377,0.000377,0.000377
43,48936.2,0.44062,0.81853,0.89031,0.91545,0.70588,0.78228,0.61421,0.38239,0.75029,0.76702,0.000374,0.000374,0.000374
44,50099,0.4382,0.81961,0.8861,0.93505,0.70034,0.77882,0.61309,0.37848,0.83154,0.77432,0.000371,0.000371,0.000371
45,51286.9,0.43806,0.82624,0.88871,0.93004,0.70364,0.7831,0.61464,0.37687,0.72841,0.77214,0.000368,0.000368,0.000368
46,52738.2,0.4311,0.81074,0.88386,0.9183,0.71584,0.7965,0.62806,0.38737,0.72196,0.76239,0.000365,0.000365,0.000365
47,53826,0.42557,0.80535,0.88601,0.93627,0.70741,0.79373,0.6292,0.36314,0.68571,0.74969,0.000362,0.000362,0.000362
48,54864.2,0.41999,0.78818,0.87835,0.93093,0.70538,0.78998,0.62761,0.3754,0.70929,0.77293,0.000359,0.000359,0.000359
49,55882.5,0.41887,0.78547,0.87921,0.93308,0.71706,0.7954,0.63195,0.36069,0.68896,0.75245,0.000356,0.000356,0.000356
50,56958.4,0.41101,0.77561,0.87687,0.92236,0.71627,0.79809,0.6319,0.36327,0.67967,0.75597,0.000353,0.000353,0.000353
51,57978.3,0.4136,0.77527,0.87424,0.93723,0.70637,0.79139,0.62747,0.37023,0.68805,0.7543,0.00035,0.00035,0.00035
52,59042.3,0.4176,0.77771,0.87954,0.93549,0.70566,0.79521,0.63113,0.37098,0.70622,0.7482,0.000347,0.000347,0.000347
53,60107.2,0.41577,0.77267,0.87681,0.93734,0.71988,0.80079,0.6437,0.34863,0.66478,0.74788,0.000344,0.000344,0.000344
54,61119.3,0.40682,0.76679,0.87312,0.92941,0.72016,0.80315,0.6462,0.35842,0.67182,0.76303,0.000341,0.000341,0.000341
55,62182.7,0.39704,0.74603,0.86851,0.93129,0.71473,0.80108,0.64246,0.35112,0.65142,0.74861,0.000338,0.000338,0.000338
56,63305.1,0.39733,0.75743,0.87215,0.94811,0.72441,0.81053,0.65871,0.33544,0.62724,0.73802,0.000335,0.000335,0.000335
57,64372.5,0.39878,0.74571,0.87001,0.94337,0.71477,0.80407,0.64759,0.34595,0.64152,0.74441,0.000332,0.000332,0.000332
