epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.9711,1.22905,1.79821,1.33388,0.46057,0.42561,0.42689,0.2492,1.2825,2.56756,1.4693,0.086386,0.000421053,0.000421053
2,151.711,1.11146,1.27218,1.2521,0.4607,0.46862,0.43534,0.35733,1.18276,4.37377,1.33829,0.0725266,0.000847358,0.000847358
3,220.651,1.1313,1.17946,1.24526,0.51001,0.43937,0.39382,0.22917,1.61353,2.17528,2.22878,0.0586649,0.00127138,0.00127138
4,301.048,1.09194,1.09527,1.20464,0.61808,0.501,0.50845,0.40547,1.14246,1.83632,1.24861,0.0448009,0.00169311,0.00169311
5,366.57,1.02308,1.00292,1.18756,0.66766,0.52471,0.53108,0.467,0.8726,1.489,1.08501,0.0309346,0.00211256,0.00211256
6,430.629,1.02729,1.02237,1.16444,0.69297,0.5147,0.52879,0.43299,1.17361,2.2233,1.34302,0.0170661,0.00252972,0.00252972
7,493.63,0.98173,0.94001,1.14392,0.72123,0.58483,0.59457,0.49936,0.86259,1.02412,1.00285,0.00319523,0.0029446,0.0029446
8,557.163,0.96794,0.85787,1.11574,0.75067,0.57845,0.60812,0.51735,0.85317,0.85451,1.01297,0.002944,0.002944,0.002944
9,620.921,0.91915,0.80947,1.09999,0.74828,0.60194,0.62401,0.53191,0.74796,0.81779,0.88463,0.002936,0.002936,0.002936
10,684.761,0.90897,0.81617,1.08359,0.74051,0.57256,0.59932,0.51618,0.82382,1.00701,0.94234,0.002928,0.002928,0.002928
11,747.905,0.901,0.75803,1.06562,0.87866,0.63246,0.65437,0.54984,0.72608,0.67695,0.882,0.00292,0.00292,0.00292
12,809.361,0.85354,0.7134,1.0565,0.82998,0.59412,0.63316,0.54854,0.71679,0.80405,0.87216,0.002912,0.002912,0.002912
13,868.572,0.84579,0.69028,1.04176,0.76976,0.64103,0.65019,0.5649,0.68962,0.58655,0.85654,0.002904,0.002904,0.002904
14,929.469,0.81865,0.65895,1.02923,0.81447,0.64248,0.65909,0.53863,0.66419,0.61915,0.85547,0.002896,0.002896,0.002896
15,992.127,0.78281,0.62824,1.0175,0.82495,0.61075,0.64908,0.55775,0.71357,0.83527,0.84837,0.002888,0.002888,0.002888
16,1053.77,0.78236,0.62254,1.01128,0.86918,0.64618,0.66905,0.57983,0.64886,0.60476,0.81839,0.00288,0.00288,0.00288
17,1116.58,0.7818,0.61951,1.00498,0.8754,0.63534,0.67254,0.57641,0.64875,0.57952,0.84605,0.002872,0.002872,0.002872
18,1178.46,0.75623,0.60259,1.00522,0.85681,0.62721,0.66153,0.55307,0.65835,0.58645,0.86089,0.002864,0.002864,0.002864
19,1238.09,0.73261,0.58972,0.99894,0.87468,0.64883,0.67904,0.58597,0.60207,0.62829,0.7754,0.002856,0.002856,0.002856
20,1298.01,0.7701,0.60897,1.00094,0.85031,0.66549,0.68644,0.59707,0.54935,0.46885,0.78053,0.002848,0.002848,0.002848
21,1358.4,0.72313,0.57864,0.99426,0.89164,0.64993,0.68713,0.59137,0.61007,0.52085,0.84749,0.00284,0.00284,0.00284
22,1422.6,0.70965,0.55409,0.98161,0.88536,0.65522,0.68698,0.59834,0.53027,0.42874,0.76077,0.002832,0.002832,0.002832
23,1484.76,0.70728,0.54261,0.97061,0.89328,0.65407,0.68145,0.59053,0.59839,0.51472,0.83435,0.002824,0.002824,0.002824
24,1544.8,0.70476,0.54712,0.97284,0.88409,0.65549,0.68297,0.59468,0.58793,0.51697,0.80477,0.002816,0.002816,0.002816
25,1603.92,0.69474,0.54741,0.96795,0.8644,0.66195,0.69261,0.60886,0.53866,0.4505,0.76562,0.002808,0.002808,0.002808
26,1662.9,0.69081,0.54002,0.9648,0.89985,0.65733,0.69236,0.60841,0.51743,0.48819,0.73967,0.0028,0.0028,0.0028
27,1722.34,0.68962,0.5314,0.95805,0.87248,0.6623,0.69632,0.6121,0.5417,0.43405,0.78105,0.002792,0.002792,0.002792
28,1781.72,0.64059,0.49965,0.95248,0.92554,0.65511,0.70432,0.61212,0.4928,0.41541,0.7315,0.002784,0.002784,0.002784
29,1840.77,0.69619,0.52096,0.96343,0.92979,0.66313,0.69683,0.60965,0.4858,0.39907,0.72019,0.002776,0.002776,0.002776
30,1900.04,0.6627,0.49409,0.94265,0.9202,0.66156,0.69928,0.61595,0.49086,0.43864,0.73285,0.002768,0.002768,0.002768
31,1959.28,0.63039,0.46641,0.93884,0.85197,0.62774,0.69488,0.5989,0.50058,0.44396,0.74056,0.00276,0.00276,0.00276
32,2018.4,0.63946,0.47614,0.94714,0.90824,0.66505,0.70136,0.61987,0.49187,0.37513,0.7338,0.002752,0.002752,0.002752
33,2077.69,0.66198,0.48997,0.94737,0.87426,0.6665,0.69002,0.58878,0.55295,0.46994,0.82036,0.002744,0.002744,0.002744
34,2136.75,0.66644,0.48682,0.94516,0.88771,0.64962,0.69373,0.60467,0.54468,0.51987,0.76341,0.002736,0.002736,0.002736
35,2196.08,0.63901,0.4674,0.93359,0.89709,0.66936,0.7028,0.61723,0.48349,0.40327,0.71292,0.002728,0.002728,0.002728
36,2255.36,0.61817,0.46285,0.9328,0.92399,0.67168,0.70817,0.62382,0.50241,0.4085,0.74817,0.00272,0.00272,0.00272
37,2314.73,0.60004,0.45936,0.93245,0.88807,0.67769,0.70836,0.62747,0.49211,0.45061,0.73119,0.002712,0.002712,0.002712
38,2374.07,0.63663,0.47022,0.9394,0.94904,0.66564,0.70696,0.61447,0.48778,0.354,0.74613,0.002704,0.002704,0.002704
39,2433.26,0.60799,0.45514,0.92587,0.912,0.67655,0.70545,0.62276,0.48564,0.42266,0.7365,0.002696,0.002696,0.002696
40,2492.31,0.6255,0.46186,0.93448,0.89268,0.66395,0.6894,0.60192,0.67123,0.81929,0.83177,0.002688,0.002688,0.002688
41,2551.3,0.62206,0.4631,0.93102,0.92735,0.66673,0.70541,0.62102,0.4752,0.34834,0.72711,0.00268,0.00268,0.00268
42,2610.62,0.62808,0.45567,0.93025,0.90607,0.66544,0.69766,0.61419,0.53077,0.44002,0.80732,0.002672,0.002672,0.002672
43,2669.68,0.61872,0.44637,0.9287,0.88181,0.65879,0.69867,0.58353,0.49236,0.43785,0.73932,0.002664,0.002664,0.002664
44,2728.92,0.61689,0.45718,0.9293,0.92138,0.6723,0.71696,0.63048,0.46383,0.40844,0.72212,0.002656,0.002656,0.002656
45,2788.34,0.61973,0.44858,0.93075,0.9043,0.67851,0.71042,0.62364,0.453,0.35756,0.71149,0.002648,0.002648,0.002648
46,2847.5,0.60734,0.44117,0.92253,0.8966,0.67934,0.7107,0.6267,0.45311,0.37145,0.723,0.00264,0.00264,0.00264
47,2906.7,0.60972,0.44718,0.92409,0.88946,0.68085,0.71466,0.6316,0.46359,0.36834,0.74602,0.002632,0.002632,0.002632
48,2966.03,0.58169,0.42114,0.91414,0.92156,0.67295,0.71674,0.6247,0.46647,0.37194,0.73116,0.002624,0.002624,0.002624
49,3025.15,0.60498,0.43773,0.91794,0.92527,0.67381,0.71058,0.62886,0.45523,0.39852,0.74387,0.002616,0.002616,0.002616
50,3084.4,0.59272,0.42731,0.91632,0.86977,0.68145,0.71966,0.62947,0.4921,0.3838,0.75296,0.002608,0.002608,0.002608
51,3143.77,0.58456,0.42235,0.9101,0.91795,0.68626,0.72793,0.63795,0.46199,0.34874,0.71297,0.0026,0.0026,0.0026
52,3203.41,0.57976,0.42237,0.91788,0.89031,0.68802,0.72081,0.62516,0.46293,0.34529,0.72335,0.002592,0.002592,0.002592
53,3262.78,0.59355,0.42157,0.9073,0.93469,0.65623,0.71378,0.62581,0.47667,0.4083,0.73701,0.002584,0.002584,0.002584
54,3321.96,0.56271,0.40806,0.90962,0.84577,0.66365,0.70002,0.58809,0.51392,0.49187,0.78741,0.002576,0.002576,0.002576
55,3381.28,0.5824,0.41471,0.9153,0.92587,0.67457,0.71706,0.63659,0.45613,0.37264,0.70881,0.002568,0.002568,0.002568
56,3440.45,0.56805,0.41185,0.90324,0.95057,0.67159,0.72368,0.63936,0.44999,0.32701,0.70987,0.00256,0.00256,0.00256
57,3499.99,0.58861,0.42043,0.91335,0.94235,0.66766,0.71387,0.62387,0.47991,0.38265,0.72923,0.002552,0.002552,0.002552
58,3561.31,0.56986,0.41276,0.90909,0.89619,0.66881,0.71908,0.63871,0.43792,0.34712,0.71447,0.002544,0.002544,0.002544
59,3625.11,0.55683,0.39588,0.90559,0.87222,0.67631,0.71522,0.61791,0.58815,0.53397,0.78676,0.002536,0.002536,0.002536
60,3684.26,0.55432,0.39816,0.89978,0.93073,0.67672,0.71711,0.63149,0.56593,0.42766,0.85128,0.002528,0.002528,0.002528
61,3743.31,0.55408,0.39706,0.90473,0.93338,0.68277,0.72633,0.64015,0.41232,0.30963,0.67443,0.00252,0.00252,0.00252
62,3802.76,0.54118,0.39144,0.90228,0.89847,0.68685,0.72495,0.63783,0.44848,0.37558,0.70087,0.002512,0.002512,0.002512
63,3862,0.56822,0.40073,0.90142,0.89813,0.67929,0.72113,0.63111,0.43903,0.38557,0.69264,0.002504,0.002504,0.002504
64,3921.28,0.56126,0.40204,0.90051,0.88021,0.6935,0.72192,0.63255,0.47905,0.45566,0.70593,0.002496,0.002496,0.002496
65,3980.44,0.53892,0.38792,0.9042,0.90939,0.68798,0.7253,0.63735,0.43282,0.32803,0.6877,0.002488,0.002488,0.002488
66,4039.93,0.54564,0.39301,0.90563,0.87915,0.69691,0.72408,0.62481,0.44945,0.33929,0.70842,0.00248,0.00248,0.00248
67,4098.98,0.56378,0.39314,0.90294,0.87532,0.68508,0.7305,0.62933,0.45172,0.33279,0.73901,0.002472,0.002472,0.002472
68,4157.96,0.58235,0.40734,0.90413,0.903,0.66791,0.71699,0.63331,0.46211,0.36625,0.72834,0.002464,0.002464,0.002464
69,4216.96,0.54881,0.39461,0.89973,0.88465,0.68863,0.72762,0.63585,0.47122,0.44311,0.74237,0.002456,0.002456,0.002456
70,4276.12,0.57274,0.4064,0.89859,0.8902,0.68924,0.73238,0.64752,0.43889,0.35253,0.69591,0.002448,0.002448,0.002448
71,4335.36,0.55077,0.38951,0.90002,0.90485,0.69877,0.73405,0.64184,0.41945,0.31662,0.69451,0.00244,0.00244,0.00244
72,4394.74,0.54206,0.38518,0.89222,0.94053,0.68306,0.73178,0.63391,0.43692,0.32051,0.70315,0.002432,0.002432,0.002432
73,4454.01,0.53769,0.37621,0.89667,0.91544,0.6866,0.7368,0.65106,0.41885,0.31126,0.69288,0.002424,0.002424,0.002424
74,4513.15,0.51993,0.36801,0.89065,0.88869,0.68728,0.7378,0.63369,0.44785,0.37673,0.71278,0.002416,0.002416,0.002416
75,4572.43,0.52561,0.37002,0.89033,0.90648,0.68806,0.73068,0.64422,0.43173,0.37173,0.69644,0.002408,0.002408,0.002408
76,4631.68,0.50536,0.36004,0.89289,0.92472,0.68544,0.73334,0.64388,0.44392,0.3747,0.70415,0.0024,0.0024,0.0024
77,4690.89,0.52275,0.36655,0.88875,0.93011,0.69151,0.73393,0.65083,0.42917,0.32866,0.70203,0.002392,0.002392,0.002392
78,4750.12,0.55431,0.38405,0.8963,0.93133,0.69467,0.73317,0.64403,0.43092,0.34394,0.70742,0.002384,0.002384,0.002384
79,4809.21,0.5097,0.36708,0.88961,0.90373,0.69241,0.73242,0.64389,0.44028,0.35817,0.71954,0.002376,0.002376,0.002376
80,4868.51,0.5312,0.37194,0.8925,0.93283,0.67905,0.72525,0.63564,0.43181,0.3281,0.68799,0.002368,0.002368,0.002368
81,4927.77,0.55323,0.38305,0.89508,0.90795,0.69612,0.73501,0.64716,0.40641,0.29814,0.68459,0.00236,0.00236,0.00236
82,4989.31,0.52709,0.36656,0.88334,0.92761,0.69221,0.73267,0.64797,0.41125,0.29759,0.69471,0.002352,0.002352,0.002352
83,5053.31,0.51897,0.37059,0.88704,0.93231,0.68355,0.73097,0.64925,0.40907,0.31246,0.68965,0.002344,0.002344,0.002344
84,5112.57,0.52431,0.36788,0.88777,0.94629,0.67783,0.73239,0.64832,0.42525,0.29887,0.70012,0.002336,0.002336,0.002336
85,5171.71,0.51818,0.3682,0.89213,0.90801,0.69105,0.73027,0.64391,0.41296,0.33353,0.68696,0.002328,0.002328,0.002328
86,5230.88,0.51224,0.36239,0.89511,0.89478,0.6975,0.74468,0.65535,0.41805,0.31592,0.69396,0.00232,0.00232,0.00232
87,5290.34,0.53502,0.36612,0.88787,0.91591,0.68766,0.73574,0.64421,0.42639,0.29616,0.69119,0.002312,0.002312,0.002312
88,5349.47,0.53127,0.36423,0.88954,0.94426,0.68402,0.7382,0.64939,0.42242,0.29017,0.68707,0.002304,0.002304,0.002304
89,5408.56,0.50201,0.35213,0.88753,0.90165,0.69923,0.73232,0.64911,0.41442,0.35246,0.69736,0.002296,0.002296,0.002296
90,5467.76,0.54297,0.37605,0.89347,0.81342,0.69804,0.73556,0.64189,0.48585,0.58326,0.76621,0.002288,0.002288,0.002288
91,5526.99,0.51171,0.35593,0.88472,0.90164,0.69846,0.73651,0.65192,0.45726,0.37928,0.77382,0.00228,0.00228,0.00228
